Type;Address;IstOpcode;SollOpcode;IstCommand;SollCommand
A;0x1FF5A;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FF5C;0x010F;0xFFFF;MOVLB 0xF;NOP
A;0x1FF5E;0x9152;0xFFFF;BCF 0x52, 0, BANKED;NOP
A;0x1FF60;0x9352;0xFFFF;BCF 0x52, 1, BANKED;NOP
A;0x1FF62;0x9552;0xFFFF;BCF 0x52, 2, BANKED;NOP
A;0x1FF64;0x86CA;0xFFFF;BSF T2CON, 3, ACCESS;NOP
A;0x1FF66;0x88CA;0xFFFF;BSF T2CON, 4, ACCESS;NOP
A;0x1FF68;0x8ACA;0xFFFF;BSF T2CON, 5, ACCESS;NOP
A;0x1FF6A;0x8CCA;0xFFFF;BSF T2CON, 6, ACCESS;NOP
A;0x1FF6C;0x92CA;0xFFFF;BCF T2CON, 1, ACCESS;NOP
A;0x1FF6E;0x90CA;0xFFFF;BCF T2CON, 0, ACCESS;NOP
A;0x1FF70;0x94CA;0xFFFF;BCF T2CON, 2, ACCESS;NOP
A;0x1FF72;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FF74;0x0100;0xFFFF;MOVLB 0x0;NOP
A;0x1FF76;0x6F60;0xFFFF;MOVWF 0x60, BANKED;NOP
A;0x1FF78;0xEC1A;0xFFFF;CALL 0x12C34, 0;NOP
B;0x1FF7A;0xF096;0xFFFF;NOP;NOP
A;0x1FF7C;0x010F;0xFFFF;MOVLB 0xF;NOP
A;0x1FF7E;0x833F;0xFFFF;BSF 0x3F, 1, BANKED;NOP
A;0x1FF80;0x813F;0xFFFF;BSF 0x3F, 0, BANKED;NOP
A;0x1FF82;0xC060;0xFFFF;MOVFF 0x60, RTCVALL;NOP
B;0x1FF84;0xFF3A;0xFFFF;NOP;NOP
A;0x1FF86;0xEC25;0xFFFF;CALL 0x12C4A, 0;NOP
B;0x1FF88;0xF096;0xFFFF;NOP;NOP
A;0x1FF8A;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FF8C;0x0100;0xFFFF;MOVLB 0x0;NOP
A;0x1FF8E;0x6F60;0xFFFF;MOVWF 0x60, BANKED;NOP
A;0x1FF90;0xEC1A;0xFFFF;CALL 0x12C34, 0;NOP
B;0x1FF92;0xF096;0xFFFF;NOP;NOP
A;0x1FF94;0x010F;0xFFFF;MOVLB 0xF;NOP
A;0x1FF96;0x933F;0xFFFF;BCF 0x3F, 1, BANKED;NOP
A;0x1FF98;0x913F;0xFFFF;BCF 0x3F, 0, BANKED;NOP
A;0x1FF9A;0xC060;0xFFFF;MOVFF 0x60, RTCVALL;NOP
B;0x1FF9C;0xFF3A;0xFFFF;NOP;NOP
A;0x1FF9E;0xEC25;0xFFFF;CALL 0x12C4A, 0;NOP
B;0x1FFA0;0xF096;0xFFFF;NOP;NOP
A;0x1FFA2;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FFA4;0x0100;0xFFFF;MOVLB 0x0;NOP
A;0x1FFA6;0x6F60;0xFFFF;MOVWF 0x60, BANKED;NOP
A;0x1FFA8;0xEC1A;0xFFFF;CALL 0x12C34, 0;NOP
B;0x1FFAA;0xF096;0xFFFF;NOP;NOP
A;0x1FFAC;0x010F;0xFFFF;MOVLB 0xF;NOP
A;0x1FFAE;0x833F;0xFFFF;BSF 0x3F, 1, BANKED;NOP
A;0x1FFB0;0x913F;0xFFFF;BCF 0x3F, 0, BANKED;NOP
A;0x1FFB2;0xC060;0xFFFF;MOVFF 0x60, RTCVALH;NOP
B;0x1FFB4;0xFF3B;0xFFFF;NOP;NOP
A;0x1FFB6;0xEC25;0xFFFF;CALL 0x12C4A, 0;NOP
B;0x1FFB8;0xF096;0xFFFF;NOP;NOP
A;0x1FFBA;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FFBC;0x0100;0xFFFF;MOVLB 0x0;NOP
A;0x1FFBE;0x6F60;0xFFFF;MOVWF 0x60, BANKED;NOP
A;0x1FFC0;0xEC1A;0xFFFF;CALL 0x12C34, 0;NOP
B;0x1FFC2;0xF096;0xFFFF;NOP;NOP
A;0x1FFC4;0x010F;0xFFFF;MOVLB 0xF;NOP
A;0x1FFC6;0x933F;0xFFFF;BCF 0x3F, 1, BANKED;NOP
A;0x1FFC8;0x913F;0xFFFF;BCF 0x3F, 0, BANKED;NOP
A;0x1FFCA;0xC060;0xFFFF;MOVFF 0x60, RTCVALH;NOP
B;0x1FFCC;0xFF3B;0xFFFF;NOP;NOP
A;0x1FFCE;0xEC25;0xFFFF;CALL 0x12C4A, 0;NOP
B;0x1FFD0;0xF096;0xFFFF;NOP;NOP
A;0x1FFD2;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FFD4;0x0100;0xFFFF;MOVLB 0x0;NOP
A;0x1FFD6;0x6F60;0xFFFF;MOVWF 0x60, BANKED;NOP
A;0x1FFD8;0xEC1A;0xFFFF;CALL 0x12C34, 0;NOP
B;0x1FFDA;0xF096;0xFFFF;NOP;NOP
A;0x1FFDC;0x010F;0xFFFF;MOVLB 0xF;NOP
A;0x1FFDE;0x933F;0xFFFF;BCF 0x3F, 1, BANKED;NOP
A;0x1FFE0;0x813F;0xFFFF;BSF 0x3F, 0, BANKED;NOP
A;0x1FFE2;0xC060;0xFFFF;MOVFF 0x60, RTCVALL;NOP
B;0x1FFE4;0xFF3A;0xFFFF;NOP;NOP
A;0x1FFE6;0xEC25;0xFFFF;CALL 0x12C4A, 0;NOP
B;0x1FFE8;0xF096;0xFFFF;NOP;NOP
A;0x1FFEA;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FFEC;0x0100;0xFFFF;MOVLB 0x0;NOP
A;0x1FFEE;0x6F60;0xFFFF;MOVWF 0x60, BANKED;NOP
A;0x1FFF0;0xEC1A;0xFFFF;CALL 0x12C34, 0;NOP
B;0x1FFF2;0xF096;0xFFFF;NOP;NOP
A;0x1FFF4;0x010F;0xFFFF;MOVLB 0xF;NOP
A;0x1FFF6;0x833F;0xFFFF;BSF 0x3F, 1, BANKED;NOP
