Type;Address;IstOpcode;SollOpcode;IstCommand;SollCommand
A;0x1FD5E;0xD7FE;0xFFFF;BRA 0xFD5C;NOP
A;0x1FD60;0x513B;0xFFFF;MOVF 0x3B, W, BANKED;NOP
A;0x1FD62;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FD64;0x010F;0xFFFF;MOVLB 0xF;NOP
A;0x1FD66;0x933F;0xFFFF;BCF 0x3F, 1, BANKED;NOP
A;0x1FD68;0x913F;0xFFFF;BCF 0x3F, 0, BANKED;NOP
A;0x1FD6A;0xB93F;0xFFFF;BTFSC 0x3F, 4, BANKED;NOP
A;0x1FD6C;0xD7FE;0xFFFF;BRA 0xFD6A;NOP
A;0x1FD6E;0x513B;0xFFFF;MOVF 0x3B, W, BANKED;NOP
A;0x1FD70;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FD72;0x010F;0xFFFF;MOVLB 0xF;NOP
A;0x1FD74;0x933F;0xFFFF;BCF 0x3F, 1, BANKED;NOP
A;0x1FD76;0x813F;0xFFFF;BSF 0x3F, 0, BANKED;NOP
A;0x1FD78;0xB93F;0xFFFF;BTFSC 0x3F, 4, BANKED;NOP
A;0x1FD7A;0xD7FE;0xFFFF;BRA 0xFD78;NOP
A;0x1FD7C;0x513A;0xFFFF;MOVF 0x3A, W, BANKED;NOP
A;0x1FD7E;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FD80;0x010F;0xFFFF;MOVLB 0xF;NOP
A;0x1FD82;0x833F;0xFFFF;BSF 0x3F, 1, BANKED;NOP
A;0x1FD84;0x913F;0xFFFF;BCF 0x3F, 0, BANKED;NOP
A;0x1FD86;0xB93F;0xFFFF;BTFSC 0x3F, 4, BANKED;NOP
A;0x1FD88;0xD7FE;0xFFFF;BRA 0xFD86;NOP
A;0x1FD8A;0x513A;0xFFFF;MOVF 0x3A, W, BANKED;NOP
A;0x1FD8C;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FD8E;0xECA2;0xFFFF;CALL 0x12B44, 0;NOP
B;0x1FD90;0xF095;0xFFFF;NOP;NOP
A;0x1FD92;0x0E00;0xFFFF;MOVLW 0x0;NOP
A;0x1FD94;0xEC0F;0xFFFF;CALL 0x1101E, 0;NOP
B;0x1FD96;0xF088;0xFFFF;NOP;NOP
A;0x1FD98;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FD9A;0x8CC1;0xFFFF;BSF ADCON1, 6, ACCESS;NOP
A;0x1FD9C;0x82C2;0xFFFF;BSF ADCON0, 1, ACCESS;NOP
A;0x1FD9E;0xB2C2;0xFFFF;BTFSC ADCON0, 1, ACCESS;NOP
A;0x1FDA0;0xD7FE;0xFFFF;BRA 0xFD9E;NOP
A;0x1FDA2;0x9CC1;0xFFFF;BCF ADCON1, 6, ACCESS;NOP
A;0x1FDA4;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FDA6;0x0E02;0xFFFF;MOVLW 0x2;NOP
A;0x1FDA8;0x0100;0xFFFF;MOVLB 0x0;NOP
A;0x1FDAA;0x6F61;0xFFFF;MOVWF 0x61, BANKED;NOP
A;0x1FDAC;0x0E00;0xFFFF;MOVLW 0x0;NOP
A;0x1FDAE;0x6F60;0xFFFF;MOVWF 0x60, BANKED;NOP
A;0x1FDB0;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FDB2;0xC041;0xFFFF;MOVFF 0x41, 0x60;NOP
B;0x1FDB4;0xF060;0xFFFF;NOP;NOP
A;0x1FDB6;0xC042;0xFFFF;MOVFF 0x42, 0x61;NOP
B;0x1FDB8;0xF061;0xFFFF;NOP;NOP
A;0x1FDBA;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FDBC;0x8AC5;0xFFFF;BSF SSP1CON2, 5, ACCESS;NOP
A;0x1FDBE;0x88C5;0xFFFF;BSF SSP1CON2, 4, ACCESS;NOP
A;0x1FDC0;0xA8C5;0xFFFF;BTFSS SSP1CON2, 4, ACCESS;NOP
A;0x1FDC2;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FDC4;0xD7FD;0xFFFF;BRA 0xFDC0;NOP
